Title,Price,Rating,Scraped_Time
A Light in the Attic,51.77,3,2026-06-26 02:26:42
Tipping the Velvet,53.74,1,2026-06-26 02:26:42
Soumission,50.1,1,2026-06-26 02:26:42
Sharp Objects,47.82,4,2026-06-26 02:26:42
Sapiens: A Brief History of Humankind,54.23,5,2026-06-26 02:26:42
The Requiem Red,22.65,1,2026-06-26 02:26:42
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,2026-06-26 02:26:42
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,2026-06-26 02:26:42
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,2026-06-26 02:26:42
The Black Maria,52.15,1,2026-06-26 02:26:42
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,2026-06-26 02:26:42
Shakespeare's Sonnets,20.66,4,2026-06-26 02:26:42
Set Me Free,17.46,5,2026-06-26 02:26:42
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,2026-06-26 02:26:42
Rip it Up and Start Again,35.02,5,2026-06-26 02:26:42
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,2026-06-26 02:26:42
Olio,23.88,1,2026-06-26 02:26:42
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,2026-06-26 02:26:42
Libertarianism for Beginners,51.33,2,2026-06-26 02:26:42
It's Only the Himalayas,45.17,2,2026-06-26 02:26:42
In Her Wake,12.84,1,2026-06-26 02:26:44
How Music Works,37.32,2,2026-06-26 02:26:44
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,2026-06-26 02:26:44
Chase Me (Paris Nights #2),25.27,5,2026-06-26 02:26:44
Black Dust,34.53,5,2026-06-26 02:26:44
Birdsong: A Story in Pictures,54.64,3,2026-06-26 02:26:44
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,2026-06-26 02:26:44
Aladdin and His Wonderful Lamp,53.13,3,2026-06-26 02:26:44
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,2026-06-26 02:26:44
Wall and Piece,44.18,4,2026-06-26 02:26:44
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,2026-06-26 02:26:44
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,2026-06-26 02:26:44
The Elephant Tree,23.82,5,2026-06-26 02:26:44
The Bear and the Piano,36.89,1,2026-06-26 02:26:44
Sophie's World,15.94,5,2026-06-26 02:26:44
Penny Maybe,33.29,3,2026-06-26 02:26:44
Maude (1883-1993):She Grew Up with the country,18.02,2,2026-06-26 02:26:44
"In a Dark, Dark Wood",19.63,1,2026-06-26 02:26:44
Behind Closed Doors,52.22,4,2026-06-26 02:26:44
You can't bury them all: Poems,33.63,2,2026-06-26 02:26:44
Slow States of Collapse: Poems,57.31,3,2026-06-26 02:26:41
Reasons to Stay Alive,26.41,2,2026-06-26 02:26:41
Private Paris (Private #10),47.61,5,2026-06-26 02:26:41
